Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
385,  52309782.6,Hz,      -51.97,dBm
386,  52445652.2,Hz,      -52.08,dBm
387,  52581521.7,Hz,      -53.47,dBm
388,  52717391.3,Hz,      -62.11,dBm
389,  52853260.9,Hz,      -62.99,dBm
390,  52989130.4,Hz,      -65.00,dBm
391,  53125000.0,Hz,      -66.37,dBm
392,  53260869.6,Hz,      -66.86,dBm
393,  53396739.1,Hz,      -70.71,dBm
394,  53532608.7,Hz,      -67.79,dBm
395,  53668478.3,Hz,      -70.65,dBm
396,  53804347.8,Hz,      -67.16,dBm
397,  53940217.4,Hz,      -69.47,dBm
398,  54076087.0,Hz,      -72.57,dBm
399,  54211956.5,Hz,      -71.00,dBm
400,  54347826.1,Hz,      -71.77,dBm
401,  54483695.7,Hz,      -71.13,dBm
402,  54619565.2,Hz,      -74.43,dBm
403,  54755434.8,Hz,      -72.26,dBm
404,  54891304.3,Hz,      -71.13,dBm
405,  55027173.9,Hz,      -71.57,dBm
406,  55163043.5,Hz,      -72.67,dBm
407,  55298913.0,Hz,      -72.84,dBm
408,  55434782.6,Hz,      -73.82,dBm
409,  55570652.2,Hz,      -75.70,dBm
410,  55706521.7,Hz,      -75.41,dBm
411,  55842391.3,Hz,      -75.82,dBm
412,  55978260.9,Hz,      -75.54,dBm
413,  56114130.4,Hz,      -73.17,dBm
414,  56250000.0,Hz,      -76.49,dBm
415,  56385869.6,Hz,      -75.27,dBm
416,  56521739.1,Hz,      -76.09,dBm
417,  56657608.7,Hz,      -76.29,dBm
418,  56793478.3,Hz,      -75.70,dBm
419,  56929347.8,Hz,      -76.92,dBm
420,  57065217.4,Hz,      -75.49,dBm
421,  57201087.0,Hz,      -77.09,dBm
422,  57336956.5,Hz,      -76.14,dBm
423,  57472826.1,Hz,      -78.38,dBm
424,  57608695.7,Hz,      -77.54,dBm
425,  57744565.2,Hz,      -77.69,dBm
426,  57880434.8,Hz,      -78.93,dBm
427,  58016304.3,Hz,      -78.62,dBm
428,  58152173.9,Hz,      -76.95,dBm
429,  58288043.5,Hz,      -78.02,dBm
430,  58423913.0,Hz,      -78.56,dBm
431,  58559782.6,Hz,      -77.66,dBm
432,  58695652.2,Hz,      -77.53,dBm
433,  58831521.7,Hz,      -77.11,dBm
434,  58967391.3,Hz,      -79.43,dBm
435,  59103260.9,Hz,      -78.09,dBm
436,  59239130.4,Hz,      -79.37,dBm
437,  59375000.0,Hz,      -78.43,dBm
438,  59510869.6,Hz,      -77.35,dBm
439,  59646739.1,Hz,      -79.00,dBm
440,  59782608.7,Hz,      -80.05,dBm
441,  59918478.3,Hz,      -77.72,dBm
442,  60054347.8,Hz,      -79.43,dBm
443,  60190217.4,Hz,      -78.83,dBm
444,  60326087.0,Hz,      -77.75,dBm
445,  60461956.5,Hz,      -78.35,dBm
446,  60597826.1,Hz,      -78.85,dBm
447,  60733695.7,Hz,      -77.29,dBm
448,  60869565.2,Hz,      -79.67,dBm
449,  61005434.8,Hz,      -78.42,dBm
450,  61141304.3,Hz,      -78.11,dBm
451,  61277173.9,Hz,      -78.95,dBm
452,  61413043.5,Hz,      -78.17,dBm
453,  61548913.0,Hz,      -78.20,dBm
454,  61684782.6,Hz,      -77.56,dBm
455,  61820652.2,Hz,      -78.37,dBm
456,  61956521.7,Hz,      -76.82,dBm
457,  62092391.3,Hz,      -77.90,dBm
458,  62228260.9,Hz,      -78.92,dBm
459,  62364130.4,Hz,      -77.25,dBm
460,  62500000.0,Hz,      -77.49,dBm
